nama_tempat,user,review,rating
Enter Komputer,Aznable,Service dan segala hal terkomunikasi kan dengan baik. Pelayanan juga ramah. Sangat memuaskan! Saya bakal dtg lagi,5 bintang
Enter Komputer,Ahmad Vidura,Ini kayanya harusnya semua orang dah tau dah kalo mo cari keperluan komputer udah paling lengkap sejagad ya disini. Dan nunggu nya asik bisa sambil ngegame wkwkwk.,5 bintang
Enter Komputer,Fernando,"Salah satu toko komputer yang sangat lengkap di mangga dua mall. Tempat nya bersih, luas, ada tempat untuk coba mouse, keyboard dll jadi ga bosen nunggu barang yang kita beli Dateng. Karna fyi aja nih. Kalo kita beli itu, pertama Dateng ke …",5 bintang
Enter Komputer,Agni,"Pelayanan sangat ramah,cukup gercep dan packing super aman. Pengiriman dari jakarta ke kalimantan cukup 5 hari saja",5 bintang
Enter Komputer,Andrian Wulur,"Servis atau belanja spare part segala macam komputer di Mangga Dua boleh di Enter Komputer lt 5 ,Pelayananan diterima di konter sales ,setelah melaporkan keluhan atau keperluan ,kemudian dilakukan pengecheckan kondisi komputer/ laptop dgn …",5 bintang
Enter Komputer,Sakti Slipi (ShaQtea),Harga murah pelayanan ramah. Bisa pilih periferal sesuai budget. Mending offline daripada online. CS online-nya kadang rada lambat menjawab pertanyaan customer.,5 bintang
Enter Komputer,Rifblock TechYt,"PENGALAMAN RPIBADI Di WebNya Memang Harga Murah-murah tapi setelah datang ke tokonya stock barang kosong, malah di paksa untuk di alihkan ke barang lain agar kita tetap beli, dengan bukan barang yg kita inginkan HATI-HATI DAH..",2 bintang
Enter Komputer,T. Dian,Udah lama banget ngga ke sini dan ternyata udah pindah ke lokasi yang lebih lega dan tertata rapi. Protokol kesehatannya dijalanin sama staff staffnya tapi tetap saja lebih baik pergi pagian karena sebelum toko buka saja sudah ada 1 baris antrian.,5 bintang
Enter Komputer,Nur Muhammad Rifqi,"Tempat terpercaya untuk membeli peralatan elektronik, harga di bawah harga toko resmi. Saya sudah beli 3 unit laptop di toko ini. Mantapp",5 bintang
Enter Komputer,Student-R,"Mantap perakitan lumayan cepat cuman 3 jam beres, dengan kondisi lumayan ramai, sambil nunggu kita bisa main game juga sambil nyoba2 rakitan dari EK",5 bintang
Enter Komputer,M3ga Sari,"Casingnya keren, antrian banyak tapi dibagi bagi untuk yg belanja online atau ambil produk atau pesan langsung jadi ga padat, diatributor aja ada jalur sendiri salut manajemennya, Sukses terus ENTER KOMPUTER",5 bintang
Enter Komputer,Angga Christian,"Lama-lama nunggu untuk pengecekan, yang ngecek barangnya gk profesional dan terkesan buru-buru. Bisa--bisanya ada part yang ketinggalan saat pengecekan. Jadi harus bolak balik besoknya. Bikin buang-buang waktu sama bensin aja.",1 bintang
Enter Komputer,Arie yanto,"Kacau banget ini beli disini , minta di rakit di tinggal 3 hari , beli windows ori suruh instalin kaga di kerjain , beli headset razor pas ngambil gag  di kasih , beli keyboard meca fighter dikasih yg rusak !! Buang2 waktu banget bulak balik  , beli barang 30jtan kyk jual barang puluhan ribu  service nya",1 bintang
Enter Komputer,Robert Davis Culinary,"Memang ga salah jadi tujuan untuk perkomputeran nomor 1 di Indonesia. Tempatnya luas, meja untuk pesan dan konsultasi rakit PC nya banyak, dan bisa langsung rakit di tempat (pegawainya banyak jd antre ga terlalu lama).",5 bintang
Enter Komputer,Erix Menosa,"Harga barang-barangnya relatif murah. Tokonya sendiri nyaman.
Dari part rakitan PC sampai perkengkapan game mewah ada di sini.",5 bintang
Enter Komputer,Farhan Azwir,"Toko komputer dan tempat rakit PC yang sangat nyaman, pelayanan ramah, dan desain toko yang bagus. Ada game booth juga biar customer tidak bosan menunggu PCnya dirakit 😁 …",5 bintang
Enter Komputer,Hizbi Audah,"Pelayanannya terbaikk pertanyaan terjawab dengan jelas, harga terbaikk juga fasilitas yg di sediakan wah bangettt  jadi ga kerasa lama nunggunya",5 bintang
Enter Komputer,Nur Oktavian,"Tempat nya bagus, hanya saja untuk pembelian barang (laptop, dll) harus menunggu cukup lama. Sebaiknya jika ingin membeli laptop bisa menghubungi kontak yang tersedia agar bisa membayar DP dulu sehingga bisa dipersiapkan, dan ketika datang hanya tinggal membayar sisanya dan membawa pulang laptop nya",5 bintang
Enter Komputer,LI SUSANTO,"Kesan saya setelah rakit pc di toko ini
Plus nya:
- Harga murah dan update nya cepat, pantau harga di web secara berkala jika …",5 bintang
Enter Komputer,Shanum Jihan Almahyra,Mantap pokoknya,5 bintang
Enter Komputer,Awwan,"New Normal, pas datang kebetulan lagi antrian panjang, tapi tetap tertib dengan adanya no antrian. Staff enter komputer juga dengan tekun mengatur antrian di dalam agar bisa jaga jarak. Marketing di counter juga dengan sabar dan telaten …",5 bintang
Enter Komputer,A.R Liga,Cocokbuat upgrade komputer muu.. pelayanannya the best bangeeettt......,5 bintang
Enter Komputer,Rizky Nur Ramadan,"Kualitas produk mungkin the best, tapi ya saran sih setidaknya ada tempat / ruang tunggu bagi yg merakit lah. Kan pihak toko saja tidak bisa memastikan bukan? Estimasi waktu perakitannya. Berjam² nunggu perakitan selesai, muter² mall sampe pegel, bingung mau kmn lagi, akhir nya ngemper aja udah di depan tokonya.",2 bintang
Enter Komputer,Jeffriyono Sipahutar,"Berbelanja di sini malah membuat saya repot karena pelayanannya tidak hati-hati dan terburu-buru. Saya mengerti banyak pembeli, tapi ya kok saya yang repot jadinya. …",1 bintang
Enter Komputer,Rahmat alfian,"baru beli pc kurleb 38 jt an, entah perasaan saya aja atau bukan kaya dipandang sebelah mata, apalagi pas udh bayar di kasir di cuekin padahal cuma minta tanda bukti dp nunggu hampir 1 jam lebih, lawak kondisi toko sepi wkwk sebagian aja …",1 bintang
Enter Komputer,MAMAD GIMANG,"Kalo mau costumer service yg memuaskan jangan belanja disini, admin tokpednya lelet/slow respon curiga 1 orang doang adminnya, admin wa nya kayak gabutuh duit.. mending belanja ke toko lain masih banyak yg lebih bagus",1 bintang
Enter Komputer,cartridge ryan fraditya,"Dateng pas weekend, bagus nerapin protokol kesehatan dan yang masuk ke store dilimit, dikasih antrian tunggu diluar sampe yang didalam selesai. Gasempet foto dari luar, dan memang gaboleh foto didalam. Disana ada beberapa barang yang unavailable, untuk pelayanannya cukup ramah dan dilayani dengan baik.",5 bintang
Enter Komputer,Bryant Christopher Hihola,"Top markotop service dan konsultasinya, kualitas barang juga ga main2. minta dibantu carikan hp hilang masih mau hehe meskipun kelalaian saya, terima kasih EK. Semoga bisa ke sana lagi next",5 bintang
Enter Komputer,Yulius Sancoko,"Rame sih, tapi CS nya kayak gak niat kasih penjelasan. Semua barang yg saya cari tidak ada dan tidak ada penawaran solusi yg baik. Saya pergi ke toko sebelah, BERES...",3 bintang
Enter Komputer,Denny Lukita,"Banyak customernya, mudah utk Konsultasi brg yg diinginkan,  utk harga sdh coba cek dibandingkan dgn toko jual***.com,  lebih ok,  ada ditoped juga,  tp utk offline pembyran sepertinya tdk bisa credit card.",5 bintang
Enter Komputer,george pri,"Sy rasa dr beberapa kali berkunjung hanya bagian casier doank yg gak ramah. Klo depan, packing, ceking ramah and enak klo di ajak ngobrol.
Om ndutnya jaga kesehatan jgn banyak makan, kurangin badan om. Klo sakit sy bingung mau minta diskon.",5 bintang
Enter Komputer,Wahyu Hidayat,"Buat ngerakit komputer paling komplit, nunggu nyaman",5 bintang
Enter Komputer,Abdul Muslim,"Cukup bagus pelayanan nya,cuma sayang spg masih ada yg lihat dr penampilan. Dan klo bisa ada ruang tunggu serta softdrink nya",4 bintang
Enter Komputer,December Pambudi,"mohon maaf kak, saya  mau build pc tp disusah2in nyari  item di toko, alesanya barang gaada kenapa di display di web kalo memang gaada .. harusnya kalo memang barang minus/ habis stok nya di ilangin",1 bintang
Enter Komputer,Reyhan Nugraha D.,"Walaupun pembelian melalui website, proses pengirimannya cepat,
dikirim pagi sorenya sudah sampai",5 bintang
Enter Komputer,Imam Abdulrohman,"Kesini buat yg udah paham barang yg mau dibeli aja, kalau yg masih lola lolo disarankan mending ke toko lain yg bisa lihat barang display dulu.",5 bintang
Enter Komputer,Ade Fauzan Zulfikar,"Menarik ramah, untuk harga ya bisalah dikatakn rekomen, 👍🏼design interiornya menarik sistem penata ruangan juga, semoga terus berkembang dan ya semoga gudangnya deket biar ga terlalu lama nunggu barangnya …",5 bintang
Enter Komputer,Tamara Mailia K. P,Yg mw ngrakit komputer sesuai budget bisa kesini. Nnti di customer servicenya dikasih tau simulasi budget yg kita punya. Rame sih. Jd siap2 antri aja yaa,5 bintang
Enter Komputer,Riku 1602,Barang sampai dengan aman. Sesuai dengan yang di pesan. Walau packing kayu saat diterima rusak tapi dalamnya masih berfungsi/aman,4 bintang
Enter Komputer,Arbhi Akun besar,ada harga ada kualitas sih.... gokil ini tempat...,5 bintang
Enter Komputer,Jodi Martin,"Pelayanan cepat, teriakan silahkan dari mbak-mbaknya diucapkan dengan lantang dan semangat. Boleh nanya-nanya dulu atau sekedar balik lagi buat ngebolang ke tempat lain bakal tetap di layanin lagi dengan ramah. Harga bersaing, dan saya rasa …",5 bintang
Enter Komputer,Aditya Sandro,"Sangat rekomendasi. Respon cepat, Harga Hemat, Kiriman tepat.",5 bintang
Enter Komputer,Zaenal Abidin Privat,"Pelayanan sangat memuaskan, meski baru pertama kali belanja online di ENTER KOMPUTER, baik dari Costumer Sercice maupun balasan chatmya di WA",5 bintang
Enter Komputer,beta taryana,"Sales representative nya sangat membantu, sangat berpengalaman di bidangnya, cepat sekali responsenya. Item2 nya sangat lengkap hampir semua yang saya order mereka punya barangnya. Packagingnya oke banget dan sangat cepat sekali deliverynya...two thumbs up for EK!!!!!",5 bintang
Enter Komputer,Franklin Collin Tamboto,"Untuk rakit PC di sini sangat mantap, hasil rapih dan cepat (kalo lagi rame sih yah lumayan lah ya nunggunya wkwkwk). Beli komponen komputer di sini juga mantap, barang gak pernah cacat pas sampe tangan. Overall sangad mantap 👍️ …",5 bintang
Enter Komputer,Suhendri Nasution,"Casing bekas, udah banyak baut yg kepasang tapi dol, mobo pin prosesor bengkok, jadi prosesos gak nyala, klaim garansi ribet.",1 bintang
Enter Komputer,Rico Vernando,"pcnya sempat bermasalah dan saya coba tanya di chat tapi tidak ada respon sama sekali, akhirnya saya bawa ke teknisi, semoga kalo ada apa apa kedepannya beneran mau bantu claim garransi kayak di deskripsi …",1 bintang
Enter Komputer,Super Autostore,"Terimakasih Enter Komputer , sudah melayani pembelian kami para costumer dengan respon yang super cepat dan sangat membantu di saat urgent.. sukses s'lalu Untuk EK .Ttp kasih pelayanan terbaik dan yg pasti tingkatkan terus kepercayaan kami sebagai langganan anda.good job👍🥇🥇🥇🥇🥇⭐⭐⭐⭐⭐ …",5 bintang
Enter Komputer,Dodi Aulia Reza,"Harga jng ditanya, sudah jelas lebih OK dari yg lain.

Pelayanan OK, mereka bantu kita rakit pc dan mampu menjawab semua pertanyaan yg …",4 bintang
Enter Komputer,Rafael AF,"Setelah sekian lama nga pake pc rakitan, akhirnya pengen juga bikin pc rakitan. Tanya2 sama temen dan direkomendasikan ke enterkomputer ini. Awalnya cek via website nya dan disana ada buat simulasi rakit pc. Setelah itu lgsung merapat ke …",5 bintang
Enter Komputer,De Rizany,"Baru 1 bulan an sy beli unit alvez type EX dsni, prtama kali ingin mersakan produk china yg sudah produksi nya di cikarang indonesia, memang fitur kndaraan berlimpah dan harga sngat ekonomis dibanding kompetitornya dan fakta kalo sudah …",5 bintang
Enter Komputer,indra kurniawan,Gila nih tempat.gak ada sepinya. Sabtu bisa antrian sampe tutup toko. Tapi memuaskan... Apa yg gw butuhin semua bisa disiapkan.,5 bintang
Enter Komputer,Bthara Reinkanaya,"Mantep pelayanannya lur.

29 april 2024: pesen dan transfer pembayaran lewat chat wa admin nya. …",5 bintang
Enter Komputer,rezki adityakurniawan,"Belanja paling aman dan nyaman ya di enter komputer official, recommended sekali saya pribadi beberapa kali order disini secara online dan tidak pernah ada kendala, untuk kalian yang butuh sparepart pc cukup lengkap dan terbaru bisa …",5 bintang
Enter Komputer,Admin,"pelayanan sangat ramah , sangat membantu sekali untuk customer , respon juga sangat cepat , terimakasih banyak Enterkomputer 🙏 …",5 bintang
Enter Komputer,Gabriel Alfred Huwae,"Pelayanan baik offline/online, barang original dan berkualitas, harga kompetitif, pengiriman cepat dan aman.
Untuk transaksi pembayaran cukup aman tapi boleh sedikit saran, mungkin perlu …",5 bintang
Enter Komputer,Marthin Samuel,Beli ram 16 GB disini bagus kok kualitasnya,5 bintang
Enter Komputer,Wastu Wijaya,Kemari beli mouse dan tinta printer. Tapi kurang beruntung sampai rumah ternyata tinta printer tidak terbaca oleh printer saya dirumah. Tinta saya kembalikan dan mendapat penggantian produk baru dari toko. Namun harus bersabar sebab ada masa proses klaim ke brand tinta tersebut. Pelayanannya bagus.. Ruang tunggunya juga luas..,5 bintang
Enter Komputer,Yudhi Bougels,Tempatnya luas... ada khusus jalur antri... ada mini cafe di depan toko... saran alangkah bagusnya disediakan beberapa komputer/laptop untuk konsumen browsing barang atau bahkan bisa langsung transaksi sendiri...,5 bintang
Enter Komputer,Yurisha,"pelayanannya bagus, bisa dirakitin langsung disana. untuk harganya ada beberapa barang yang lebih murah jika dibeli di online shop lain",5 bintang
Enter Komputer,Nayah Thea,Cs ramah da pelayanan cepat. Sore pesan. Besok jam 11 siang udah sampe di rumah. Dari mangga dua mall kirim ke serang banten,5 bintang
Enter Komputer,orionring2,"Pengalamannya cepat, saya dikasih tau yg compatible yg mana dan direcommend part yang lebih bagus. Staffnya juga pinter PC dan ramah. catatan: Kl mw rakit pc hrs bersedia nunggu kira2 2-3 jam, tp itu lumayan cepet karena cable management udah jadi, trus tinggal plug and play+ siapin simulasi dulu di websitenya biar cepet.",5 bintang
Enter Komputer,Vivo Y21s,"Sudah lebih dari 12 tahun beli disini. Harga bersahabat, transparant, pelayanan semakin baik. Terutama dari segi area menunggu yg semakin nyaman.",5 bintang
Enter Komputer,atang rukmana,"Sudah berlangganan setiap kebutuhan inventaris kantor belanja di enterkomputer
Mantap",5 bintang
Enter Komputer,Ovan Kurniawan,Terlengkaaaapp. pelayanan prima. sembari nunggu barang bs kursus nyetir.,5 bintang
Enter Komputer,Bready,"Pelayanan baik dan responsif.
Perakitan cepat, rekomendasi untuk perakitan Komputer",5 bintang
Enter Komputer,Karlin Karduki,Beli laptop disini karena penjualnya bisa menerangkan ttg laptop dengan jelas dan mendetail,4 bintang
Enter Komputer,Chandra Hyde,"Tempat lengkap dan murah, terbaik buat belanja pc dkk",5 bintang
Enter Komputer,Ahmad Rizqi Gunawan,"Pelayanan sangat memuaskan, barang diterima dengan kondisi sangat baik karena packing sangat aman dengan kayu, customer service juga sangat luar biasa mau follow-up permasalahan kecil, request pada waktu order juga dilaksanakan dengan sangat baik, pokoknya luar biasa mantap",5 bintang
Enter Komputer,Ice Cool,Yg jual tools pc ada di lantai 3,5 bintang
Enter Komputer,1cakers,"Mantap, untuk pembelian pertama via web, terbantu sama adminnya. Tentuin aja punya dana berapa, nanti adminnya yg ""racik"" barangnya. Ya walaupun responnya gk terlalu cepet, tapi overall  mantap lah pokoknya",5 bintang
Enter Komputer,Putera Iga Arrahma,Izin review pengalaman di enter komputer terkait klaim cukup mengecewakan komunikasi via wa yang tidak bisa memberikan detail arahan terkait layanan klaim. …,1 bintang
Enter Komputer,Mugeki,"Rekomen buat beli part & ngerakit disini, csnya juga ngebantu banget ketika ada part yang kurang kompatibel",5 bintang
Enter Komputer,bolang,"Pelayanan ramah (waktu itu yg ngelayanin saya mas mas gembul tapi baek dia mau jelasin product knowledgenya) kayaknya diliat dari bentuk storenya lumayan lengkap, terlebih untuk yg gamming gamming",5 bintang
Enter Komputer,Rendra pamungkas,Tempat claim garansi atau pengaduan kendala pada device yang di beli di enter komputer,5 bintang
Enter Komputer,Riki Nurdiansyah,"Ada harga ada kualitas, mantap",5 bintang
Enter Komputer,Ferdian Erlangga syahputra,"Pemesanan online melalui web respon cepat,dan pengiriman sangat memuaskan menggunakan kurir toko. Pemesanan siang sampai lokasi sore",5 bintang
Enter Komputer,Thomas Yuni Gunarto,"Yang mau rakit PC Gamer, Design lokasi yg tepat. Pilih simulasi di website, konsultasi dng admi via chat, byr via transfer, tinggal ambil barang
Kadang admin slow respons krn antrian",5 bintang
Enter Komputer,Yoes Goog,"Pershn BUMN yg cukup populer, di bidang pertambangan dg produk utamanya logam mulia (emas), bijih nikel, bauksit, ferronikel.",5 bintang
Enter Komputer,Lukman Hakim,"Offline Storenya oke banget, tempatnya nyaman, harga kompetitif, pelayanannya bagus, sales personnya pinter (Alivia), ngerti produk dan kooperatif. Penjualan online-nya juga top. Offline dan Online nya bagus semua. Recommended Seller. …",5 bintang
